Gene	Priority
ENSG00000158813	5
ENSG00000171094	5
ENSG00000057593	5
ENSG00000185010	5
ENSG00000188878	5
ENSG00000115267	5
ENSG00000162729	5
ENSG00000099341	5
ENSG00000078747	5
ENSG00000095261	5
ENSG00000161031	5
ENSG00000008438	5
ENSG00000145192	5
ENSG00000147869	5
ENSG00000187098	5
ENSG00000129152	5
ENSG00000163563	5
ENSG00000137492	5
ENSG00000175164	5
LGALS3BP	5
ENSG00000105499	5
ENSG00000118257	5
ENSG00000011275	5
TCL1A	5
ENSG00000130758	5
ENSG00000139625	5
ENSG00000006062	5
ENSG00000244482	5
ENSG00000137965	5
ENSG00000091317	5
ENSG00000153551	5
ENSG00000129988	5
ENSG00000171557	5
ENSG00000142089	5
ENSG00000185201	5
ENSG00000175505	5
ENSG00000161640	5
ENSG00000007168	5
ENSG00000138760	5
ENSG00000172232	5
ENSG00000126767	5
ENSG00000151923	5
ENSG00000167851	5
ENSG00000123143	5
ENSG00000062598	5
ENSG00000102890	5
ENSG00000135046	5
ENSG00000100968	5
ENSG00000174837	5
ENSG00000091136	5
ENSG00000131068	5
ENSG00000170956	5
ENSG00000128228	5
ENSG00000148737	5
ENSG00000017427	5
ENSG00000154721	5
ENSG00000146674	5
ENSG00000139187	5
ENSG00000166501	5
ENSG00000187266	5
ENSG00000117595	5
ENSG00000160862	5
ENSG00000081189	5
ENSG00000115718	5
ENSG00000154342	5
ENSG00000156574	5
ENSG00000178789	5
ENSG00000144554	5
ENSG00000095970	5
ENSG00000122025	5
ENSG00000073008	5
ENSG00000091592	5
ENSG00000080815	5
TNFSF9	5
ENSG00000158169	5
TNFRSF6B	5
ENSG00000047597	5
ENSG00000124343	5
ENSG00000175505	5
ENSG00000005893	5
ENSG00000215182	5
ENSG00000276070	5
ENSG00000161533	5
ENSG00000105509	5
ENSG00000128322	5
ENSG00000181409	5
ENSG00000167815	5
ENSG00000257923	5
ENSG00000161905	5
ENSG00000143384	5
ENSG00000142405	5
ENSG00000119185	5
ENSG00000164924	5
CEBPA	5
ENSG00000103126	5
ENSG00000134308	5
ENSG00000128245	5
ENSG00000106100	5
ENSG00000160949	5
ENSG00000204498	5
ENSG00000205810	5
ENSG00000183542	5
ENSG00000164344	5
ENSG00000129538	5
ENSG00000153234	5
ENSG00000131669	5
ENSG00000171840	5
ENSG00000084652	5
ENSG00000242372	5
ENSG00000164761	5
ENSG00000244171	5
ENSG00000167081	5
ENSG00000185630	5
ENSG00000100784	5
CLEC4D	5
ENSG00000198178	5
ENSG00000161055	5
ENSG00000134250	5
ENSG00000139842	5
ENSG00000120708	5
ENSG00000115935	5
ENSG00000123124	5
ENSG00000204305	5
KIR2DS3	5
ENSG00000107968	5
ENSG00000169967	5
ENSG00000198909	5
ENSG00000129993	5
ENSG00000126351	5
ENSG00000146070	5
ENSG00000277443	5
PRTN3	5
ENSG00000143387	5
ENSG00000059377	5
ENSG00000163975	5
ENSG00000107736	5
ENSG00000103569	5
ENSG00000168884	5
ENSG00000066468	5
ENSG00000077782	5
ENSG00000168918	5
ENSG00000163629	5
ENSG00000181104	5
ENSG00000159216	5
ENSG00000088832	5
ENSG00000163485	5
ENSG00000282608	5
ENSG00000150760	5
ENSG00000148702	5
ENSG00000006327	5
ENSG00000196419	5
ENSG00000120738	5
ENSG00000134684	5
ENSG00000099866	5
ENSG00000122359	5
PRKACA	5
ENSG00000085265	5
ENSG00000009709	5
ENSG00000196396	5
ENSG00000204290	5
ENSG00000151929	5
ENSG00000107262	5
ENSG00000100811	5
ENSG00000099875	5
ENSG00000140368	5
ENSG00000178726	5
ENSG00000132677	5
ENSG00000244355	5
IFNB3	5
ENSG00000106588	5
ENSG00000100567	5
ICAM5	5
ENSG00000099385	5
ENSG00000106635	5
ENSG00000128052	5
ENSG00000160932	5
ENSG00000167656	5
ENSG00000112658	5
ENSG00000186051	5
ENSG00000176956	5
ENSG00000188257	5
ENSG00000140030	5
FLT3LG	5
ENSG00000117215	5
ENSG00000131981	5
ENSG00000015285	5
ENSG00000171747	5
ENSG00000124107	5
ENSG00000170558	5
ENSG00000162337	5
ENSG00000104522	5
ENSG00000055332	5
ENSG00000129465	5
ENSG00000169252	5
ENSG00000138356	5
ENSG00000089685	5
ENSG00000101966	5
ENSG00000034152	5
ENSG00000107779	5
ENSG00000108984	5
ENSG00000112290	5
ENSG00000132970	5
ENSG00000130396	5
ENSG00000130382	5
ENSG00000171843	5
ENSG00000132646	5
ENSG00000162896	5
ENSG00000100324	5
ENSG00000055208	5
ENSG00000162551	5
ENSG00000171552	5
ENSG00000129473	5
ENSG00000105221	5
CASP14	5
ENSG00000166930	5
ENSG00000149534	5
ENSG00000149516	5
ENSG00000090382	5
ENSG00000204628	5
ENSG00000109272	5
ENSG00000101144	5
ENSG00000012779	5
IFI30	5
ENSG00000171150	5
ENSG00000112175	5
ENSG00000125845	5
ENSG00000129009	5
ENSG00000082701	5
ENSG00000134028	5
ENSG00000131015	5
ENSG00000131019	5
ENSG00000001626	5
